Estimated Duration,Flex Pass,Monthly Pass,Walk-up
0,21.66666667,14.05,28.1
1,8.411764706,7.001876173,22.80851064
2,8.590361446,6.299670692,20.50739958
3,7.267741935,7.097019868,15.27057497
4,7.947845805,7.224081185,15.77931034
5,9.110465116,8.204220558,14.62892308
6,10.40318907,9.945054945,15.09698276
7,10.89882353,10.1293913,16.72631579
8,12.35789474,11.71251499,16.95305832
9,12.43291139,12.33625731,17.48048569
10,14.27411168,13.99121706,19.51207729
11,15.80124224,14.87014925,20.62557078
12,17.15492958,15.98185484,20.92948718
13,16.6137931,16.78378378,22.22595078
14,18.41880342,17.18249258,24.13095238
15,21.78205128,19.3960114,26.61660079
16,23.77777778,20.26984127,26.00862069
17,20.59375,20.81192661,24.97087379
18,27.8,22.5,27.34782609
19,27.33333333,23.51724138,28.60714286
20,33.16666667,25.1875,32.64705882
21,30.33333333,22.16666667,26.57142857
22,,20.66666667,29.75
23,,22.5,27
24,54,,
