Station ID,Station Name,Go live date,Status
4108,1 LA Warehouse,7/7/2016,Active
3010,11th & Maple,7/10/2016,Active
3059,11th & Santee,7/7/2016,Active
3053,12th & Grand,7/7/2016,Inactive
3019,12th & Hill,7/7/2016,Active
3057,18th & Figueroa,7/7/2016,Active
3045,18th & San Pedro,7/7/2016,Active
3042,1st & Central,7/7/2016,Active
3023,1st & Judge John Aiso,7/7/2016,Active
3049,2nd & Figueroa,7/7/2016,Active
3046,2nd & Hill,7/12/2016,Active
3062,3rd & San Pedro,7/7/2016,Active
3022,3rd & Santa Fe,7/7/2016,Active
3007,5th & Grand,7/7/2016,Active
3048,5th & Hewitt,7/13/2016,Active
3052,7th & Bixel,7/7/2016,Active
3051,7th & Broadway,7/7/2016,Active
3055,7th & Main,7/7/2016,Active
3031,7th & Spring,7/7/2016,Active
3077,8th & Wall,7/7/2016,Active
3076,9th & Los Angeles,7/7/2016,Active
3069,Broadway & 3rd,7/7/2016,Active
3075,Broadway & 9th,7/7/2016,Active
3054,Factory Place & Alameda,7/7/2016,Active
3035,Figueroa & 8th,7/7/2016,Active
3008,Figueroa & 9th,7/7/2016,Active
3026,Figueroa & Cesar Chavez,7/7/2016,Active
3011,Figueroa & Pico,7/12/2016,Active
3005,Flower & 7th,7/7/2016,Active
3056,Grand & 14th,7/7/2016,Active
3068,Grand & 3rd,7/7/2016,Active
3064,Grand & 7th,7/11/2016,Active
3018,Grand & Olympic,7/7/2016,Active
3028,Grand & Temple,7/7/2016,Active
3025,Grand & Washington,7/7/2016,Active
3078,Hill & College,7/7/2016,Active
3020,Hill & Washington,7/7/2016,Active
3034,Hope & 11th,7/7/2016,Active
3024,Hope & 1st,7/13/2016,Active
3032,Hope & 6th,7/7/2016,Active
3074,Hope & Olympic,7/7/2016,Active
3037,Imperial & 7th,7/7/2016,Active
3058,Industrial St & Mateo St,7/7/2016,Active
3016,Los Angeles & Temple,7/7/2016,Active
3030,Main & 1st,7/7/2016,Active
3029,Main & 4th,7/7/2016,Active
3038,Main & 5th,7/7/2016,Active
3067,Main & 6th,7/7/2016,Active
3033,Main & 9th,7/7/2016,Active
3065,New High & Ord,7/7/2016,Active
3063,Olive & 5th,7/7/2016,Active
3006,Olive & 8th,7/7/2016,Active
3047,Pico & Flower,7/7/2016,Active
3060,Pico & Maple,7/7/2016,Active
3080,San Julian & 12th,7/7/2016,Active
3027,Spring & 3rd,7/7/2016,Active
3066,Spring & College,7/7/2016,Active
3081,Stanford & 12th,7/13/2016,Active
3079,Temple & Vignes,7/7/2016,Active
3082,Traction & Rose,8/29/2016,Active
3014,Union Station West Portal,7/7/2016,Active
3036,Willow St & Mateo St,7/7/2016,Active
3040,Wilshire & Witmer,7/7/2016,Active
